,ID,Component,Subtype,Voltage MoS,Current MoS,Power MoS,Temp Margin (°C),Freq MoS,Recommended Test If Above Limit,Notes / Justification,Reference
New,1,Resistor,Thick Film SMD,0.5 (Rated Voltage),0.25 (Rated Current),0.5 (Rated Power),30,N/A,Derating review and thermal scan,Thick film resistors have lower surge tolerance; voltage rating often limited by geometry,Vishay App Note “Voltage Rating of Chip Resistors”
New,2,Resistor,Thin Film SMD,0.4 (Rated Voltage),0.3 (Rated Current),0.4 (Rated Power),20,N/A,"Review layout for hotspots, simulate power pulse",Thin film parts are more precise but less robust thermally,Vishay Precision Group TNPW Datasheet
New,3,Resistor,Wirewound,0.75 (Rated Voltage),0.6 (Rated Current),0.6 (Rated Power),40,N/A,Check thermal rise and inductance effects,Better pulse handling; needs derating at high temps,"IPC-2152, Ohmite datasheets"
New,4,Capacitor,MLCC Class I,0.8 (Rated Voltage),N/A,N/A,20,0.7 (Self-Resonant Freq),Impedance/freq sweep,Class I capacitors are stable and low loss,Murata Technical Guide
New,5,Capacitor,MLCC Class II,0.5 (Rated Voltage),N/A,N/A,30,0.5 (SRF),Review ESR and capacitance drift,Temp/voltage/freq cause major drift,Murata “Understanding MLCC Behavior”
New,6,Capacitor,Tantalum,0.5 (Rated Voltage),N/A,N/A,25,N/A,Surge test per IEC 60384-3,Prone to thermal runaway if stressed,Kemet “Derating Guidelines”
New,7,Capacitor,Aluminum Electrolytic,0.7 (Rated Voltage),N/A,N/A,20,0.3 (Rated Freq),ESR aging test,ESR increases over time and temp,Nichicon Guide to Aluminum Electrolytics
New,8,Diode,Standard Rectifier,0.6 (Reverse Voltage Rating),0.5 (Rated Forward Current),N/A,25,N/A,Reverse recovery timing test,Common failures from repetitive surge,ON Semi Rectifier Selection Guide
New,9,Diode,Schottky,0.5 (Reverse Voltage Rating),0.4 (Rated Current),N/A,30,N/A,Junction temp measurement,Sensitive to leakage and thermal stress,Vishay AN823
New,10,Diode,Zener (Regulation),0.6 (Vz),0.4 (Rated Current),N/A,20,N/A,Thermal camera for junction hot spots,Breakdown current must be well-controlled,ON Semi Zener Diode Guide
New,11,Diode,TVS (Clamping),0.75 (Standoff Voltage),N/A,N/A,30,N/A,Verify clamping time on surge bench,Must remain below max clamping voltage in all cases,Littelfuse TVS Selection Guide
New,12,Transistor,NPN BJT,0.5 (Vce Max),0.5 (Ic Max),N/A,25,N/A,SOA analysis at operating point,Thermal and secondary breakdown limits,ON Semi BJT Datasheets
New,13,Transistor,PNP BJT,0.5 (Vce Max),0.5 (Ic Max),N/A,25,N/A,Thermal imaging during switching,Matches NPN except for polarity,ON Semi PNP Datasheets
New,14,FET,N-Channel MOSFET,0.6 (Vds Max),0.4 (Id Max),0.4 (Pd Max),30,0.6 (fT Max),SOA and Rds(on) under load,"Needs strong margin due to avalanche, thermal limits","IRF, Infineon FET App Notes"
New,15,FET,P-Channel MOSFET,0.5 (Vds Max),0.4 (Id Max),0.4 (Pd Max),30,0.5 (fT Max),Review gate drive timing,Weaker electron mobility; derate more,Vishay AN843
New,16,LED,Red (AlInGaP),0.75 (Vr),0.5 (If Max),N/A,20,N/A,Luminous output decay test,Thermal and forward current limit brightness,Cree Red LED Reliability Study
New,17,LED,Blue/White (InGaN),0.6 (Vr),0.4 (If Max),N/A,20,N/A,Measure Vf drop over time,Higher degradation rate at junction,Nichia Reliability Docs
New,18,Protection,MOV,0.7 (Max Continuous Voltage),N/A,N/A,40,N/A,Thermal imaging after surge,Aging and degradation from hit count,Littelfuse MOV Guide
New,19,Protection,Polyfuse (PTC),0.6 (Rated Voltage),0.5 (Hold Current),N/A,30,N/A,Resistance shift under stress,PTCs heat up under marginal overcurrent,Bourns Multifuse Tech Note
New,20,Inductor,Shielded SMD Power,0.5 (Saturation Current),0.5 (Rated Current),N/A,25,0.6 (Self-Resonant Frequency),Scope waveform for saturation onset,Saturation degrades performance quickly,Würth Elektronik Inductor Guide
New,21,Inductor,Unshielded Axial,0.5 (Insulation Voltage),0.4 (Rated Current),N/A,25,0.5 (SRF),Check for acoustic noise and EMI,Open core can radiate and saturate under stress,Coilcraft Tech Docs
New,22,Transformer,Flyback (Ferrite Core),0.6 (Primary Voltage Rating),0.5 (Rated Current),N/A,30,N/A,Check for core saturation with high-speed current probe,Overvoltage or low frequency can saturate,Wurth App Note ANP089
New,23,Transformer,Signal Isolation,0.7 (Isolation Voltage),N/A,N/A,25,0.6 (Max Switching Frequency),Perform hi-pot and time-domain reflectometry,Key failure is breakdown of isolation barrier,Pulse Electronics Isolation Datasheets
New,24,Crystal,AT-Cut Quartz,N/A,N/A,N/A,20,0.5 (Max Drive Level Power),Measure ESR vs drive,Exceeding drive causes drift and fracture,ECS Inc. Crystal Drive Level Guidelines
New,25,Oscillator,CMOS Oscillator,N/A,N/A,0.8 (Rated Power Dissipation),20,0.6 (Max Operating Frequency),Observe output waveform over temp,Too much load capacitance may cause clipping,Abracon Oscillator App Note
New,26,Relay,"Mechanical, Signal",0.6 (Contact Voltage),0.4 (Contact Current),0.4 (Contact Power),30,N/A,Lifecycle test under load,Arc erosion reduces contact life,TE Connectivity Relay Selection Guide
New,27,Relay,Power (Electromechanical),0.5 (Coil Voltage),0.5 (Switching Current),0.5 (Switching Power),25,N/A,Check contact resistance over cycle count,Higher power leads to contact welding,Omron Relay Derating App Notes
New,28,Relay,Solid-State (SSR),0.6 (Blocking Voltage),0.4 (Load Current),N/A,25,0.7 (Switching Freq Rating),Thermal IR imaging under max load,Overdrive causes thermal stress,Crydom SSR Guide
New,29,Connector,Board-to-Board,0.8 (Rated Voltage),0.5 (Contact Current),N/A,20,N/A,Check contact resistance rise with cycles,Plating wear and microfretting degrade signal,Molex Contact Resistance Whitepaper
New,30,Connector,FFC/FPC,0.75 (Rated Voltage),0.5 (Contact Current),N/A,20,N/A,Pull tests and insertion force validation,Sensitive to flex stress and misalignment,Hirose FFC Design Guide
New,31,Connector,USB Type-C,0.7 (VBUS Voltage),0.5 (Pin Current Rating),N/A,25,0.8 (Max Signaling Rate),Eye diagram and impedance test,Signal integrity degrades with debris and wear,USB-IF Type-C Spec Rev 2.2
New,32,Switch,Tactile (SMD),0.8 (Contact Voltage),0.5 (Contact Current),N/A,20,N/A,Debounce timing and force profiling,Mechanical wear degrades contact,C&K Switch Lifetime Guide
New,33,Sensor,Thermistor (NTC),0.6 (Rated Voltage),0.6 (Rated Current),N/A,25,N/A,Check response vs step input,High current drifts resistance,Vishay NTC Selection Guide
New,34,Sensor,Hall Effect,0.8 (Supply Voltage),N/A,N/A,20,0.7 (Max Output Freq),Temperature cycling and response linearity,Magnetic offset and noise can grow with temp,Allegro Hall IC App Notes
New,35,Sensor,MEMS Accelerometer,0.8 (Supply Voltage),N/A,N/A,15,0.6 (Max Bandwidth),Shock test and drift calibration,Package stress shifts baseline,Analog Devices MEMS Reliability Handbook
New,36,Fuse,Glass Cartridge,0.6 (Rated Voltage),0.5 (Rated Current),N/A,30,N/A,Verify I²t for expected surge,Slow-blow types age poorly with pulse loads,Littelfuse Fuseology Guide
New,37,Fuse,SMD PTC Resettable,0.6 (Rated Voltage),0.5 (Hold Current),N/A,30,N/A,Resistance shift with current cycling,Repeated trips reduce reliability,Bourns Multifuse App Note
New,38,Ferrite,Chip Bead,0.8 (Rated Voltage),0.4 (Rated Current),N/A,20,0.5 (Peak Impedance Frequency),Impedance vs freq sweep,High current or temp shifts impedance curve,Murata Ferrite Bead Guide
New,39,Ferrite,Toroid,0.7 (Rated Voltage),0.5 (Rated Current),N/A,30,0.6 (Resonant Frequency),Saturation and insertion loss test,Used in EMI suppression; saturates under DC,Fair-Rite Catalog
New,40,Display,7-Segment LED,0.75 (Vr),0.5 (If Max),N/A,20,N/A,Brightness degradation over time,Current affects lifespan and brightness,Kingbright LED Display Datasheets
New,41,Display,OLED (Passive Matrix),0.6 (Max Vdd),N/A,0.5 (Rated Power),20,N/A,Luminance drop under stress test,Organic layers degrade with temp and UV,Raystar OLED Lifetime Guide
New,42,Battery,Li-Ion Pouch Cell,0.8 (Max Charge Voltage),0.8 (Max Discharge Current),0.8 (Rated Capacity),15,N/A,Thermal runaway and impedance tests,Degrades rapidly outside narrow limits,Panasonic Li-ion Safety Guide
New,43,Battery,Alkaline AA,0.6 (Open-Circuit Voltage),0.5 (Max Discharge Current),N/A,25,N/A,Leakage and capacity test,High load reduces available capacity sharply,Duracell Alkaline Technical Manual
New,44,Fan,Brushless DC (12V),0.8 (Rated Voltage),0.6 (Rated Current),N/A,20,0.7 (Rated RPM),Stall current and acoustic profile,Excess voltage stresses Hall sensors,Delta Fan App Note
New,45,Fuse,Electronic (eFuse),0.7 (Operating Voltage),0.6 (Current Limit Threshold),N/A,20,N/A,Protection timing analysis,Needs to trigger fast but avoid false trips,Texas Instruments eFuse Portfolio
New,46,Opto,Optocoupler (Phototransistor),0.7 (Vce Max),0.5 (If LED Forward Current),N/A,25,0.6 (Signal Freq Limit),CTR and isolation breakdown test,LED and transistor aging degrade CTR,Vishay Opto App Note 847
New,47,Opto,Photodiode,0.8 (Reverse Voltage),N/A,N/A,20,0.6 (Bandwidth),Dark current and linearity test,Photocurrent nonlinearity increases with age,OSI Optoelectronics App Notes
New,48,RTC,Crystal-based RTC,N/A,N/A,0.8 (Rated Supply Power),15,N/A,Timekeeping accuracy vs temp,Crystal tempco and voltage drift,Epson RTC Application Guide
New,49,RTC,MEMS-based RTC,N/A,N/A,0.7 (Supply Voltage),15,N/A,Drift tracking over temperature,Less sensitive to shock but higher drift,SiTime MEMS RTC Technical Notes
New,50,Cable,Coaxial RG-174,0.6 (Voltage Rating),0.5 (Current Limit),N/A,20,0.8 (Max Data Rate),"Check insertion loss, return loss",Inner dielectric limits breakdown,Belden RG-174 Datasheet
New,51,Cable,Twisted Pair (Shielded),0.8 (Voltage Rating),0.5 (Current Rating),N/A,25,0.75 (Category Rated Bandwidth),Crosstalk and delay skew test,Shielding and pair twist affect noise immunity,TIA-568 Standards
Original,ID,Component,Subtype,Voltage MoS,Current MoS,Power MoS,Temp Margin (Â°C),Freq MoS,Recommended Test If Above Limit,Notes / Justification,
